## -*- mode: org; -*-

## The data in this file are auto-generated from
##    https://interactivebrokers.github.io/tws-api/message_codes.html

| Code  | TWS message                                                                                                                                                                                                                                                                   | Additional notes                                                                                                                                                                                                                                                                                                                                                                                                                         |
| 364   | Invalid adjusted trailing amount.                                                                                                                                                                                                                                             |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 365   | No scanner subscription found for ticker id:                                                                                                                                                                                                                                  | Scanner market data subscription request with this ticker id has either been cancelled or is not found.                                                                                                                                                                                                                                                                                                                                  |
| 366   | No historical data query found for ticker id:                                                                                                                                                                                                                                 | Historical market data request with this ticker id has either been cancelled or is not found.                                                                                                                                                                                                                                                                                                                                            |
| 367   | Volatility type if set must be 1 or 2 for VOL orders. Do not set it for other order types.                                                                                                                                                                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 368   | Reference Price Type must be 1 or 2 for dynamic volatility management. Do not set it for non-VOL orders.                                                                                                                                                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 369   | Volatility orders are only valid for US options.                                                                                                                                                                                                                              | Make sure that you are placing an order for US OPT contract.                                                                                                                                                                                                                                                                                                                                                                             |
| 370   | Dynamic Volatility orders must be SMART routed, or trade on a Price Improvement Exchange.                                                                                                                                                                                     |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 371   | VOL order requires positive floating point value for volatility. Do not set it for other order types.                                                                                                                                                                         |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 372   | Cannot set dynamic VOL attribute on non-VOL order.                                                                                                                                                                                                                            | Make sure that your order type is 'VOL'.                                                                                                                                                                                                                                                                                                                                                                                                 |
| 373   | Can only set stock range attribute on VOL or RELATIVE TO STOCK order.                                                                                                                                                                                                         |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 374   | If both are set, the lower stock range attribute must be less than the upper stock range attribute.                                                                                                                                                                           |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 375   | Stock range attributes cannot be negative.                                                                                                                                                                                                                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 376   | The order is not eligible for continuous update. The option must trade on a cheap-to-reroute exchange.                                                                                                                                                                        |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 377   | Must specify valid delta hedge order aux. price.                                                                                                                                                                                                                              |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 378   | Delta hedge order type requires delta hedge aux. price to be specified.                                                                                                                                                                                                       | Make sure your order has delta attribute.                                                                                                                                                                                                                                                                                                                                                                                                |
| 379   | Delta hedge order type requires that no delta hedge aux. price be specified.                                                                                                                                                                                                  | Make sure you do not specify aux. delta hedge price.                                                                                                                                                                                                                                                                                                                                                                                     |
| 380   | This order type is not allowed for delta hedge orders.                                                                                                                                                                                                                        | Limit, Market or Relative orders are supported.                                                                                                                                                                                                                                                                                                                                                                                          |
| 381   | Your DDE.dll needs to be upgraded.                                                                                                                                                                                                                                            |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 382   | The price specified violates the number of ticks constraint specified in the default order settings.                                                                                                                                                                          |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 383   | The size specified violates the size constraint specified in the default order settings.                                                                                                                                                                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 384   | Invalid DDE array request.                                                                                                                                                                                                                                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 385   | Duplicate ticker ID for API scanner subscription.                                                                                                                                                                                                                             | Make sure you are using a unique ticker ID for your new scanner subscription.                                                                                                                                                                                                                                                                                                                                                            |
| 386   | Duplicate ticker ID for API historical data query.                                                                                                                                                                                                                            | Make sure you are using a unique ticker ID for your new historical market data query.                                                                                                                                                                                                                                                                                                                                                    |
| 387   | Unsupported order type for this exchange and security type.                                                                                                                                                                                                                   | You can review all order types and supported exchanges on the Order Types and Algos page.                                                                                                                                                                                                                                                                                                                                                |
| 388   | Order size is smaller than the minimum requirement.                                                                                                                                                                                                                           | Check order size parameters for the specified contract from the TWS Contract Details.                                                                                                                                                                                                                                                                                                                                                    |
| 389   | Supplied routed order ID is not unique.                                                                                                                                                                                                                                       |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 390   | Supplied routed order ID is invalid.                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 391   | The time or time-zone entered is invalid. The correct format is hh:mm:ss xxx                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 392   | Invalid order: contract expired.                                                                                                                                                                                                                                              | You can not place an order for the expired contract.                                                                                                                                                                                                                                                                                                                                                                                     |
| 393   | Short sale slot may be specified for delta hedge orders only.                                                                                                                                                                                                                 |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 394   | Invalid Process Time: must be integer number of milliseconds between 100 and 2000. Found:                                                                                                                                                                                     |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 395   | Due to system problems, orders with OCA groups are currently not being accepted.                                                                                                                                                                                              | Check TWS bulletins for more information.                                                                                                                                                                                                                                                                                                                                                                                                |
| 396   | Due to system problems, application is currently accepting only Market and Limit orders for this contract.                                                                                                                                                                    | Check TWS bulletins for more information.                                                                                                                                                                                                                                                                                                                                                                                                |
| 397   | Due to system problems, application is currently accepting only Market and Limit orders for this contract.                                                                                                                                                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 398   | < > cannot be used as a condition trigger.                                                                                                                                                                                                                                    | Please make sure that you specify a valid condition                                                                                                                                                                                                                                                                                                                                                                                      |
| 399   | Order message error                                                                                                                                                                                                                                                           |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 400   | Algo order error.                                                                                                                                                                                                                                                             |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 401   | Length restriction.                                                                                                                                                                                                                                                           |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 402   | Conditions are not allowed for this contract.                                                                                                                                                                                                                                 | Condition order type does not support for this contract                                                                                                                                                                                                                                                                                                                                                                                  |
| 403   | Invalid stop price.                                                                                                                                                                                                                                                           | The Stop Price you specified for the order is invalid for the contract                                                                                                                                                                                                                                                                                                                                                                   |
| 404   | Shares for this order are not immediately available for short sale. The order will be held while we attempt to locate the shares.                                                                                                                                             | You order is held by the TWS because you are trying to sell a contract but you do not have any long position and the market does not have short sale available. You order will be transmitted once there is short sale available on the market                                                                                                                                                                                           |
| 405   | The child order quantity should be equivalent to the parent order size.                                                                                                                                                                                                       | This error is deprecated.                                                                                                                                                                                                                                                                                                                                                                                                                |
| 406   | The currency < > is not allowed.                                                                                                                                                                                                                                              | Please specify a valid currency                                                                                                                                                                                                                                                                                                                                                                                                          |
| 407   | The symbol should contain valid non-unicode characters only.                                                                                                                                                                                                                  | Please check your contract Symbol                                                                                                                                                                                                                                                                                                                                                                                                        |
| 408   | Invalid scale order increment.                                                                                                                                                                                                                                                |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 409   | Invalid scale order. You must specify order component size.                                                                                                                                                                                                                   | ScaleInitLevelSize specified is invalid                                                                                                                                                                                                                                                                                                                                                                                                  |
| 410   | Invalid subsequent component size for scale order.                                                                                                                                                                                                                            | ScaleSubsLevelSize specified is invalid                                                                                                                                                                                                                                                                                                                                                                                                  |
| 411   | The "Outside Regular Trading Hours" flag is not valid for this order.                                                                                                                                                                                                         | Trading outside of regular trading hours is not available for this security                                                                                                                                                                                                                                                                                                                                                              |
| 412   | The contract is not available for trading.                                                                                                                                                                                                                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 413   | What-if order should have the transmit flag set to true.                                                                                                                                                                                                                      | You need to set IBApi.Order.Transmit to TRUE                                                                                                                                                                                                                                                                                                                                                                                             |
| 414   | Snapshot market data subscription is not applicable to generic ticks.                                                                                                                                                                                                         | You must leave Generic Tick List to be empty when requesting snapshot market data                                                                                                                                                                                                                                                                                                                                                        |
| 415   | Wait until previous RFQ finishes and try again.                                                                                                                                                                                                                               |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 416   | RFQ is not applicable for the contract. Order ID:                                                                                                                                                                                                                             |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 417   | Invalid initial component size for scale order.                                                                                                                                                                                                                               | ScaleInitLevelSize specified is invalid                                                                                                                                                                                                                                                                                                                                                                                                  |
| 418   | Invalid scale order profit offset.                                                                                                                                                                                                                                            | ScaleProfitOffset specified is invalid                                                                                                                                                                                                                                                                                                                                                                                                   |
| 419   | Missing initial component size for scale order.                                                                                                                                                                                                                               | You need to specify the ScaleInitLevelSize                                                                                                                                                                                                                                                                                                                                                                                               |
| 420   | Invalid real-time query.                                                                                                                                                                                                                                                      | Information about pacing violations                                                                                                                                                                                                                                                                                                                                                                                                      |
| 421   | Invalid route.                                                                                                                                                                                                                                                                | This error is deprecated.                                                                                                                                                                                                                                                                                                                                                                                                                |
| 422   | The account and clearing attributes on this order may not be changed.                                                                                                                                                                                                         |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 423   | Cross order RFQ has been expired. THI committed size is no longer available. Please open order dialog and verify liquidity allocation.                                                                                                                                        |                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 424   | FA Order requires allocation to be specified.                                                                                                                                                                                                                                 | This error is deprecated.                                                                                                                                                                                                                                                                                                                                                                                                                |
| 425   | FA Order requires per-account manual allocations because there is no common clearing instruction. Please use order dialog Adviser tab to enter the allocation.                                                                                                                | This error is deprecated.                                                                                                                                                                                                                                                                                                                                                                                                                |
| 426   | None of the accounts have enough shares.                                                                                                                                                                                                                                      | You are not able to enter short position with Cash Account                                                                                                                                                                                                                                                                                                                                                                               |
| 427   | Mutual Fund order requires monetary value to be specified.                                                                                                                                                                                                                    | This error is deprecated.                                                                                                                                                                                                                                                                                                                                                                                                                |
